,,,,,,,,,,college,original_name,city,state,established,sponsorship,location,lon,lat
38,Virginia Mechanics' Institute.,1854,VA,,Mechanical,Agricultural and Mechanical, VA,-78.65689,37.43157,New York Univ.,,New York,NY,1831,Nondenominational,New York NY,-74.00594,40.71278
39,Virginia agricultural society of Fredericksburg,1820,VA,Fredericksburg,Agriculture,Agricultural and Mechanical,Fredericksburg VA,-77.46054,38.30318,Xavier,,Cincinnati,OH,1831,Roman Catholic,Cincinnati OH,-84.51202,39.10312
40,"Agricultural Society of Albemarle (Charlottesville, Va.)",1816,VA,,Agriculture,Agricultural and Mechanical, VA,-78.65689,37.43157,Gettysburg,,Gettysburg,PA,1832,Lutheran,Gettysburg PA,-77.2311,39.83093
,,,,,,,,,,Oberlin,,Oberlin,OH,1833,Congregational,Oberlin OH,-82.21738,41.29394
,,,,,,,,,,Wake Forest College,,Wake Forest,NC,1833,Baptist,Wake Forest NC,-78.50972,35.97987
,,,,,,,,,,Wesleyan Univ.,,Middletown,CT,1833,Wesleyan Methodist,Middletown CT,-72.65065,41.56232
,,,,,,,,,,Wheaton,,Norton,MA,1834,Nondenominational,Norton MA,-71.187,41.96677
,,,,,,,,,,Emory,,Atlanta,GA,1836,Methodist,Atlanta GA,-84.38798,33.749
,,,,,,,,,,Mount Holyoke,,South Hadley,MA,1837,Congregational,South Hadley MA,-72.57479,42.25917
,,,,,,,,,,Duke,,Durham,NC,1838,Methodist,Durham NC,-78.89862,35.99403
,,,,,,,,,,Greensboro,,Greensboro,NC,1838,Methodist,Greensboro NC,-79.79198,36.07264
,,,,,,,,,,"Missouri, Univ. of",,Columbia,MO,1839,Secular,Columbia MO,-92.33407,38.95171
,,,,,,,,,,Fordham,,Fordham,NY,1841,Roman Catholic,Fordham NY,-73.89058,40.8615
,,,,,,,,,,Bethel,,McKenzie,TN,1842,Presbyterian,McKenzie TN,-88.51866,36.13256
,,,,,,,,,,Cumberland,,Lebanon,TN,1842,Presbyterian,Lebanon TN,-86.2911,36.20811
,,,,,,,,,,Notre Dame,,Notre Dame,IN,1842,Roman Catholic,Notre Dame IN,-86.23793,41.70019
,,,,,,,,,,Villanova,,Villanova,PA,1842,Roman Catholic,Villanova PA,-75.34918,40.03758
,,,,,,,,,,Holy Cross,,Worchester,MA,1843,Roman Catholic,Worchester MA,-71.80229,42.26259
,,,,,,,,,,"Mississipps, Univ. of",,Oxford,MI,1844,Secular,Oxford MI,-83.27466,42.84186
,,,,,,,,,,"Louisiana, Univ. of",,New Orleans,LA,1845,Secular,New Orleans LA,-90.07153,29.95107
,,,,,,,,,,U.S. Naval Academy,,Annapolis,MD,1845,Secular,Annapolis MD,-76.49218,38.97845
,,,,,,,,,,Beloit,,Beloit,WI,1846,Congregational,Beloit WI,-89.03178,42.50835
,,,,,,,,,,Bucknell,,Lewisburg,PA,1846,Baptist,Lewisburg PA,-76.88441,40.96453
,,,,,,,,,,Grinnell,,Grinnell,IA,1846,Congregational,Grinnell IA,-92.72472,41.74361
,,,,,,,,,,Mount Union,,Alliance,OH,1846,Methodist,Alliance OH,-81.10593,40.91534
,,,,,,,,,,Earlham,,Richmond,IN,1847,Quaker,Richmond IN,-84.89024,39.82894
,,,,,,,,,,"Wisconsin, Univ. of",,Madison,WI,1848,Secular,Madison WI,-89.40123,43.07305
